Sugu	Aasta	Kokku	0	1-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 ja vanemad	Vanus teadmata
Naised	1971	741791	10484	38195	49143	48989	48004	51647	45222	56546	52494	57011	51719	33773	43207	43582	38339	31274	21586	12874	7095	607
Naised	1972	749613	10519	39879	48310	50306	47769	52998	43784	57745	52576	56939	53640	36778	40394	43686	39084	31950	22060	13203	7451	542
Naised	1973	756198	10530	41264	47814	50884	47958	53668	45256	55428	53221	56897	54694	41305	36556	44146	39463	32995	22365	13569	7689	496
Naised	1974	761913	10172	42242	48064	50702	49061	53295	48588	51734	54951	55072	55745	44463	35207	44101	39739	33427	23083	13772	8050	445
Naised	1975	767451	10481	42661	48390	50407	49650	52880	52024	48328	56793	53635	55952	48160	33258	43993	40137	34206	23819	13903	8381	393
Naised	1976	772075	10307	42630	49887	49483	49813	53626	54870	45975	57097	52496	56416	51278	33384	41999	40910	33924	24793	14246	8599	342
Naised	1977	776846	10659	42483	51266	48443	50476	53808	56142	44329	57901	52597	56166	53016	36302	39148	41032	34409	25241	14401	8730	297
Naised	1978	782521	10655	42601	52939	47734	50837	54202	57260	45618	55428	53239	56198	53742	40765	35474	41447	34625	26069	14463	8982	243
Naised	1979	787202	10542	43037	53320	48115	50464	55365	57184	49045	51578	54932	54321	54697	43833	34163	41245	34847	26373	14834	9106	201
Naised	1980	790617	10481	42899	53819	48556	49944	55433	57324	52575	48197	56511	52947	54945	47174	32224	41123	35062	26896	15216	9108	183
Naised	1981	795741	10746	43049	53751	50109	49003	55545	58621	55571	45863	56707	51844	55382	50116	32225	39180	35813	26733	16029	9290	164
Naised	1982	800677	11003	43248	53914	51479	48150	55924	58830	57075	44274	57420	51911	55158	51726	34958	36405	36067	27153	16371	9470	141
Naised	1983	805761	11192	43708	53918	53117	47491	55993	58918	58189	45569	54897	52395	55269	52445	39041	32927	36447	27398	17185	9533	129
Naised	1984	810533	11644	44262	54220	53718	47373	55393	59784	58152	48933	51186	54037	53454	53334	41849	31612	36347	27651	17533	9943	108
Naised	1985	815398	11807	45256	54334	54267	48094	54664	59791	58469	52737	47823	55687	52040	53533	45100	29817	36108	27853	17801	10130	87
Naised	1986	820097	11588	46225	54869	54202	49579	53310	60035	59697	55710	45592	55842	50893	53976	47879	29773	34363	28367	17695	10442	60
Naised	1987	825726	11610	47062	55242	54420	51076	51835	60504	60146	57205	43888	56794	50840	53774	49522	32388	31873	28614	18108	10784	41
Naised	1988	830954	12043	47502	55898	54366	52548	50895	60380	60513	58251	45292	54342	51382	54013	50373	35913	28900	28992	18117	11211	23
Naised	1989	834270	12189	47685	56760	54676	52952	50712	59302	61172	58379	48685	50711	52948	52146	51226	38570	27598	28950	18203	11406	0
Naised	1990	836061	11637	47755	57783	54603	53256	50535	58088	60910	58599	52494	47254	54551	50609	51309	41566	26082	28814	18460	11756	0
Naised	1991	834200	10689	47226	58114	54707	53135	50899	55829	60453	59387	55255	44931	54635	49387	51478	44039	25903	27226	18892	12015	0
Naised	1992	828123	9224	45854	57951	54397	52903	51483	52970	60001	59067	56312	43030	55359	48975	51001	45309	28073	24972	19030	12212	0
Naised	1993	807998	8545	41891	56424	52997	51406	51385	49910	57187	57079	55595	43582	52218	49057	50554	45624	30779	22412	19166	12187	0
Naised	1994	790952	7116	38209	55370	52466	50150	50433	48183	54673	56015	54300	45992	48201	50107	48394	45977	32841	21370	19004	12151	0
Naised	1995	776811	6756	34045	54196	52714	48932	49320	47185	52569	54761	53264	48740	44494	51099	46652	45685	35143	20075	18839	12342	0
Naised	1996	765837	6430	30606	52829	52690	48520	48217	47073	50235	53867	53244	50557	41926	50785	45428	45749	37217	19938	17775	12751	0
